Institute ID,Name,TLR,RPC,GO,OI,Perception,City,State,Score,Rank
IR-M-U-0147,Pandit Deendayal Energy University,60.14,26.68,75.31,40.80,2.09,Gandhinagar,Gujarat,45.39,89
IR-M-U-0202,Birla Institute of Technology,61.75,23.08,64.18,54.84,12.44,Ranchi,Jharkhand,45.00,90
IR-M-S-14565,National Institute of Bank Management,64.45,8.17,85.01,58.50,2.09,Pune,Maharashtra,44.85,91
IR-M-U-0078,Panjab University,48.21,29.80,69.61,55.78,18.02,Chandigarh,Chandigarh,44.70,92
IR-M-S-164,Rajagiri Business School,65.55,20.92,59.14,56.91,8.69,Cochin,Kerala,44.33,93
IR-M-N-4,Bharathidasan Institute of Management,63.85,0.69,82.36,48.63,34.73,Tiruchirappalli,Tamil Nadu,44.17,94
IR-M-U-0056,Tezpur University,63.73,16.91,68.04,53.22,3.60,Tezpur,Assam,43.48,95
IR-M-S-14553,National Institute of Agricultural Extension Management,69.30,7.76,67.84,60.66,4.09,Hyderabad,Telangana,43.17,96
IR-M-I-1132,Institute of Management Technology,55.45,13.61,75.76,61.83,9.55,Hyderabad,Telangana,43.01,97
IR-M-U-0643,Galgotias University,62.42,14.99,64.51,65.12,2.60,Gautam Budh Nagar,Uttar Pradesh,42.90,98
IR-M-I-1238,Krea University,69.73,2.22,64.61,73.15,9.98,Sri City,Andhra Pradesh,42.82,99
IR-M-U-0025,National Institute of Technology Warangal,63.70,28.57,46.53,46.36,9.98,Warangal,Telangana,42.63,100
