Institute ID,Name,TLR,RPC,GO,OI,Perception,City,State,Score,Rank
IR-O-U-0273,Indian Institute of Technology Indore,65.54,50.91,71.78,60.73,19.49,Indore,Madhya Pradesh,57.31,33
IR-O-U-0357,National Institute of Technology Rourkela,63.94,50.54,75.22,59.60,17.02,Rourkela,Odisha,57.04,34
IR-O-U-0205,Indian Institute of Technology (Indian School of Mines) Dhanbad,59.69,55.05,71.72,59.20,22.93,Dhanbad,Jharkhand,56.97,35
IR-O-U-0222,JSS Academy of Higher Education and Research,76.68,32.12,69.66,76.95,15.07,Mysuru,Karnataka,55.79,36
IR-O-U-0323,Savitribai Phule Pune University,61.07,39.17,89.65,52.59,24.29,Pune,Maharashtra,55.69,37
IR-O-U-0260,Kerala University,74.52,26.72,94.82,58.19,4.52,Thiruvananthapuram,Kerala,55.61,38
IR-O-U-0368,Jawaharlal Institute of Post Graduate Medical Education and Research,72.86,33.47,71.01,70.11,24.02,Puducherry,Pondicherry,55.51,39
IR-O-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),67.87,41.54,71.78,66.48,16.38,Vaddeswaram,Andhra Pradesh,55.47,40
IR-O-U-0006,Andhra University,75.44,26.05,85.19,64.68,10.13,Visakhapatnam,Andhra Pradesh,54.97,41
IR-O-U-0305,Indian Institute of Science Education and Research Pune,72.80,41.09,61.53,62.28,21.53,Pune,Maharashtra,54.86,42
IR-O-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),65.00,43.36,71.19,63.83,17.02,Patiala,Punjab,54.83,43
IR-O-U-0447,Bharathiar University,64.04,42.45,78.16,54.05,18.27,Coimbatore,Tamil Nadu,54.81,44
IR-O-U-0379,Lovely Professional University,57.10,49.75,66.63,69.81,22.10,Phagwara,Punjab,54.58,45
IR-O-U-0237,"National Institute of Technology Karnataka, Surathkal",55.75,43.41,74.39,62.79,35.25,Surathkal,Karnataka,54.44,46
IR-O-U-0476,Shanmugha Arts Science Technology and Research Academy,69.41,37.64,71.47,66.23,11.24,Thanjavur,Tamil Nadu,54.14,47
IR-O-U-0378,Indian Institute of Technology Ropar,68.81,39.95,67.50,65.22,14.74,Rupnagar,Punjab,54.12,48
IR-O-U-0497,Amity University,56.77,50.31,71.92,65.59,9.75,Gautam Budh Nagar,Uttar Pradesh,54.04,49
IR-O-U-0458,Kalasalingam Academy of Research and Education,69.75,32.36,74.56,74.30,10.50,Srivilliputhur,Tamil Nadu,54.02,50
IR-O-U-0253,Cochin University of Science and Technology,71.68,35.53,73.76,56.10,14.74,Cochin,Kerala,53.99,51
IR-O-U-0329,Symbiosis International,72.53,27.49,78.53,64.79,17.34,Pune,Maharashtra,53.93,52
IR-O-U-0025,National Institute of Technology Warangal,61.76,42.22,72.75,57.84,22.10,Warangal,Telangana,53.74,53
IR-O-U-0263,National Institute of Technology Calicut,66.21,32.44,72.82,68.16,26.88,Kozhikode,Kerala,53.66,54
IR-O-U-0448,Bharathidasan University,65.13,39.14,79.78,53.33,8.99,Tiruchirappalli,Tamil Nadu,53.47,55
IR-O-U-0308,Institute of Chemical Technology,55.91,45.68,75.08,55.39,23.48,Mumbai,Maharashtra,53.38,56
IR-O-U-0052,Gauhati University,71.82,24.11,88.28,60.98,7.42,Guwahati,Assam,53.28,57
IR-O-U-0498,Babasaheb Bhimrao Ambedkar University,69.31,25.46,80.94,78.63,7.82,Lucknow,Uttar Pradesh,53.26,58
IR-O-U-0564,UPES,64.11,41.19,60.62,65.76,27.62,Dehradun,Uttarakhand,53.05,59
IR-O-U-0078,Panjab University,54.31,42.01,74.07,63.38,29.55,Chandigarh,Chandigarh,52.99,60
IR-O-U-0572,Indian Institute of Science Education and Research Kolkata,68.89,39.53,66.79,54.52,15.73,Mohanpur,West Bengal,52.91,61
IR-O-U-0107,Jamia Hamdard,68.66,34.45,70.20,66.17,12.32,New Delhi,Delhi,52.83,62
IR-O-I-1110,Dr. D. Y. Patil Vidyapeeth,74.46,26.12,63.10,61.74,37.45,Pune,Maharashtra,52.72,63
IR-O-U-0377,Indian Institute of Science Education and Research Mohali,67.38,32.89,70.81,66.14,17.34,Mohali,Punjab,52.58,64
IR-O-I-1357,University of Madras,69.31,38.50,65.47,53.22,18.27,Chennai,Tamil Nadu,52.58,64
IR-O-U-0098,Delhi Technological University,63.18,37.87,67.50,56.65,29.07,New Delhi,Delhi,52.38,66
IR-O-U-0262,Mahatma Gandhi University,71.36,37.27,70.97,51.09,4.09,Kottayam,Kerala,52.30,67
IR-O-U-0395,Indian Institute of Technology Jodhpur,71.50,34.91,63.56,67.12,8.99,Jodhpur,Rajasthan,52.24,68
IR-O-U-0196,University of Kashmir,71.14,31.25,79.72,51.14,3.66,Srinagar,Jammu and Kashmir,52.14,69
IR-O-U-0027,Osmania University,64.75,28.77,85.33,58.05,10.87,Hyderabad,Telangana,52.02,70
IR-O-U-0295,Datta Meghe Institute of Higher Education and Research,71.49,38.33,61.26,64.14,1.41,Wardha,Maharashtra,51.75,71
IR-O-U-0184,Indian Institute of Technology Mandi,65.48,38.39,61.96,70.37,10.87,Mandi,Himachal Pradesh,51.68,72
IR-O-U-0064,Indian Institute of Technology Patna,60.25,42.04,70.12,54.10,11.24,Patna,Bihar,51.24,73
IR-O-U-0691,All India Institute of Medical Sciences Rishikesh,74.07,35.35,50.68,69.13,13.37,Rishikesh,Uttarakhand,51.22,74
IR-O-U-0574,"Indian Statistical Institute, Kolkata",68.05,32.99,67.59,45.27,27.37,Kolkata,West Bengal,51.10,75
IR-O-U-0435,Alagappa University,65.88,35.30,73.76,51.91,7.82,Karaikudi,Tamil Nadu,51.07,76
IR-O-U-0334,Visvesvaraya National Institute of Technology Nagpur,62.96,37.25,68.60,55.82,16.70,Nagpur,Maharashtra,51.03,77
IR-O-U-0272,Indian Institute of Science Education and Research Bhopal,69.14,31.99,65.96,67.87,6.20,Bhopal,Madhya Pradesh,50.94,78
IR-O-U-0555,Graphic Era University,59.90,33.86,62.93,66.08,32.50,Dehradun,Uttarakhand,50.58,79
IR-O-U-0381,Punjab Agricultural University,74.19,32.43,64.12,49.58,7.82,Ludhiana,Punjab,50.55,80
IR-O-C-16604,Sri Sivasubramaniya Nadar College of Engineering,61.30,39.40,67.32,57.14,10.50,Kalavakkam,Tamil Nadu,50.43,81
IR-O-U-0410,Malaviya National Institute of Technology,58.02,42.66,69.70,52.47,10.13,Jaipur,Rajasthan,50.41,82
IR-O-U-0689,All India Institute of Medical Sciences Jodhpur,72.70,33.93,56.36,60.62,6.20,Jodhpur,Rajasthan,49.94,83
IR-O-N-10,SVKM`s Narsee Monjee Institute of Management Studies,74.00,24.83,64.38,65.17,5.37,Mumbai,Maharashtra,49.59,84
IR-O-U-0474,Sathyabama Institute of Science and Technology,59.05,36.30,63.32,70.64,11.96,Chennai,Tamil Nadu,49.52,85
IR-O-U-0235,Mysore University,70.80,19.35,79.51,57.96,7.02,Mysuru,Karnataka,49.45,86
IR-O-U-0195,University of Jammu,72.95,23.43,74.91,52.72,2.32,Jammu,Jammu and Kashmir,49.40,87
IR-O-U-0523,King George`s Medical University,72.12,27.45,62.81,56.24,9.37,Lucknow,Uttar Pradesh,48.98,88
IR-O-U-0190,Shoolini University of Biotechnology and Management Sciences,54.64,39.24,68.70,65.98,4.52,Solan,Himachal Pradesh,48.95,89
IR-O-U-0217,Christ University,58.34,22.05,66.49,72.84,39.72,Bengaluru,Karnataka,48.66,90
IR-O-U-0446,Bharath Institute of Higher Education and Research,67.46,22.62,67.73,71.19,9.37,Chennai,Tamil Nadu,48.64,91
IR-O-U-0055,National Institute of Technology Silchar,50.88,43.70,69.93,56.42,5.37,Silchar,Assam,48.55,92
IR-O-U-0577,National Institute of Technology Durgapur,57.81,32.74,71.05,57.97,11.24,Durgapur,West Bengal,48.29,93
IR-O-U-0136,Gujarat University,67.97,17.53,81.99,57.00,4.09,Ahmedabad,Gujarat,48.16,94
IR-O-U-0642,Shiv Nadar University,71.43,25.51,59.74,66.79,4.09,Gautam Buddha Nagar,Uttar Pradesh,48.12,95
IR-O-I-1486,Sri Ramachandra Institute of Higher Education and Research,72.73,22.22,62.46,62.99,8.21,Chennai,Tamil Nadu,48.10,96
IR-O-U-0003,Acharya Nagarjuna University,64.38,17.00,82.97,65.00,2.32,Guntur,Andhra Pradesh,47.73,97
IR-O-U-0331,Tata Institute of Social Sciences,66.96,15.83,71.49,72.19,11.96,Mumbai,Maharashtra,47.56,98
IR-O-U-0686,All India Institute of Medical Sciences Patna,69.57,20.49,60.00,66.08,19.19,Patna,Bihar,47.55,99
IR-O-U-0470,Periyar University,61.51,29.46,69.58,59.86,2.32,Salem,Tamil Nadu,47.43,100
