college_name,state,city,field,ranking,score
Krupanidhi College of Pharmacy,Karnataka,Bengaluru,pharmacy,98,40.1
AISSMS College of Pharmacy,Maharashtra,Pune,pharmacy,99,39.97
"College of Pharmacy, Pandit Bhagwat Dayal Sharma University of Health Sciences",Haryana,Rohtak,pharmacy,100,39.54
"Indian Institute of Science, Bengaluru",Karnataka,Bengaluru,research_institutions,1,84.98
Indian Institute of Technology Madras,Tamil Nadu,Chennai,research_institutions,2,83.29
Indian Institute of Technology Delhi,Delhi,New Delhi,research_institutions,3,81.08
Indian Institute of Technology Bombay,Maharashtra,Mumbai,research_institutions,4,77.75
Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,research_institutions,5,72.65
Homi Bhabha National Institute,Maharashtra,Mumbai,research_institutions,6,70.11
Indian Institute of Technology Kanpur,Uttar Pradesh,Kanpur,research_institutions,7,70.04
All India Institute of Medical Sciences Delhi,Delhi,New Delhi,research_institutions,8,67.43
Indian Institute of Technology Roorkee,Uttarakhand,Roorkee,research_institutions,9,66.78
Indian Institute of Technology Guwahati,Assam,Guwahati,research_institutions,10,64.94
Academy of Scientific and Innovative Research,Uttar Pradesh,Ghaziabad,research_institutions,11,64.2
Tata Institute of Fundamental Research,Maharashtra,Mumbai,research_institutions,12,60.54
Vellore Institute of Technology,Tamil Nadu,Vellore,research_institutions,13,60.28
University of Delhi,Delhi,Delhi,research_institutions,14,60.07
Indian Institute of Technology Hyderabad,Telangana,Hyderabad,research_institutions,15,59.96
Banaras Hindu University,Uttar Pradesh,Varanasi,research_institutions,16,58.52
Anna University,Tamil Nadu,Chennai,research_institutions,17,58.39
Jawaharlal Nehru University,Delhi,New Delhi,research_institutions,18,56.43
Jamia Millia Islamia,Delhi,New Delhi,research_institutions,19,56.12
Saveetha Institute of Medical and Technical Sciences,Tamil Nadu,Chennai,research_institutions,20,55.85
Jadavpur University,West Bengal,Kolkata,research_institutions,21,54.85
Indian Institute of Technology (Indian School of Mines) Dhanbad,Jharkhand,Dhanbad,research_institutions,22,54.77
"Manipal Academy of Higher Education, Manipal",Karnataka,Manipal,research_institutions,23,54.31
S.R.M. Institute of Science and Technology,Tamil Nadu,Chennai,research_institutions,24,53.34
Aligarh Muslim University,Uttar Pradesh,Aligarh,research_institutions,25,53.29
"Birla Institute of Technology and Science, Pilani",Rajasthan,Pilani,research_institutions,26,53.06
Indian Institute of Technology Indore,Madhya Pradesh,Indore,research_institutions,27,52.7
University of Hyderabad,Telangana,Hyderabad,research_institutions,28,51.9
Indian Institute of Science Education and Research Pune,Maharashtra,Pune,research_institutions,29,51.53
National Institute of Technology Rourkela,Odisha,Rourkela,research_institutions,30,51.16
National Institute of Technology Tiruchirappalli,Tamil Nadu,Tiruchirappalli,research_institutions,31,50.94
Indian Institute of Technology Gandhinagar,Gujarat,Gandhinagar,research_institutions,32,50.78
Amrita Vishwa Vidyapeetham,Tamil Nadu,Coimbatore,research_institutions,33,50.38
Jawaharlal Nehru Centre for Advanced Scientific Research,Karnataka,Bengaluru,research_institutions,34,50.06
Panjab University,Chandigarh,Chandigarh,research_institutions,35,49.73
Calcutta University,West Bengal,Kolkata,research_institutions,36,48.57
Indian Agricultural Research Institute,Delhi,New Delhi,research_institutions,37,48.55
Indian Institute of Science Education and Research Kolkata,West Bengal,Mohanpur,research_institutions,38,47.31
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Punjab,Patiala,research_institutions,39,47.3
Institute of Chemical Technology,Maharashtra,Mumbai,research_institutions,40,46.83
Bharathiar University,Tamil Nadu,Coimbatore,research_institutions,41,46.79
"National Institute of Technology Karnataka, Surathkal",Karnataka,Surathkal,research_institutions,42,45.41
"National Institute of Mental Health and Neuro Sciences, Bangalore",Karnataka,Bengaluru,research_institutions,43,45.18
Lovely Professional University,Punjab,Phagwara,research_institutions,44,45.01
Indian Institute of Technology Ropar,Punjab,Rupnagar,research_institutions,45,44.99
Kalinga Institute of Industrial Technology,Odisha,Bhubaneswar,research_institutions,46,44.64
Amity University,Uttar Pradesh,Gautam Budh Nagar,research_institutions,47,44.57
Bharathidasan University,Tamil Nadu,Tiruchirappalli,research_institutions,48,44.41
Indian Institute of Science Education and Research Mohali,Punjab,Mohali,research_institutions,49,44.09
Siksha `O` Anusandhan,Odisha,Bhubaneswar,research_institutions,50,43.87
Symbiosis Skills and Professional University (Formerly Symbiosis Skill and Open University),Maharashtra,Pune,skill_university,1,
Shri Vishwakarma Skill University,Haryana,Palwal,skill_university,2,
Bhartiya Skill Development University,Rajasthan,Rajasthan,skill_university,3,
Anna University,Tamil Nadu,Chennai,state_public_university,1,78.14
Jadavpur University,West Bengal,Kolkata,state_public_university,2,77.74
Savitribai Phule Pune University,Maharashtra,Pune,state_public_university,3,70.26
Calcutta University,West Bengal,Kolkata,state_public_university,4,68.96
Panjab University,Chandigarh,Chandigarh,state_public_university,5,67.43
Osmania University,Telangana,Hyderabad,state_public_university,6,67.2
Andhra University,Andhra Pradesh,Visakhapatnam,state_public_university,7,65.96
Bharathiar University,Tamil Nadu,Coimbatore,state_public_university,8,65.27
Kerala University,Kerala,Thiruvananthapuram,state_public_university,9,65.15
Cochin University of Science and Technology,Kerala,Cochin,state_public_university,10,63.21
Mahatma Gandhi University,Kerala,Kottayam,state_public_university,11,63.04
University of Madras,Tamil Nadu,Chennai,state_public_university,12,62.89
Gauhati University,Assam,Guwahati,state_public_university,13,62.04
University of Kashmir,Jammu and Kashmir,Srinagar,state_public_university,14,61.66
Delhi Technological University,Delhi,New Delhi,state_public_university,15,61.35
Bharathidasan University,Tamil Nadu,Tiruchirappalli,state_public_university,16,61.33
Alagappa University,Tamil Nadu,Karaikudi,state_public_university,17,60.15
Mumbai University,Maharashtra,Mumbai,state_public_university,18,58.75
Mysore University,Karnataka,Mysuru,state_public_university,19,58.29
Acharya Nagarjuna University,Andhra Pradesh,Guntur,state_public_university,20,58.28
Guru Gobind Singh Indraprastha University,Delhi,New Delhi,state_public_university,21,57.33
Visvesvaraya Technological University,Karnataka,Belgaum,state_public_university,22,57.18
University of Jammu,Jammu and Kashmir,Jammu,state_public_university,23,55.79
Bangalore University,Karnataka,Bengaluru,state_public_university,24,55.59
Periyar University,Tamil Nadu,Salem,state_public_university,25,55.34
Madurai Kamaraj University,Tamil Nadu,Madurai,state_public_university,26,54.66
King George`s Medical University,Uttar Pradesh,Lucknow,state_public_university,27,54.38
Dibrugarh University,Assam,Dibrugarh,state_public_university,28,54.01
Gujarat University,Gujarat,Ahmedabad,state_public_university,29,53.99
Punjab Agricultural University,Punjab,Ludhiana,state_public_university,30,53.94
Annamalai University,Tamil Nadu,Annamalainagar,state_public_university,31,53.77
University of Lucknow,Uttar Pradesh,Lucknow,state_public_university,32,53.54
COEP Technological University,Maharashtra,Pune,state_public_university,33,53.37
Netaji Subhas University of Technology (NSUT),Delhi,Delhi,state_public_university,34,52.6
Maharshi Dayanand University,Haryana,Rohtak,state_public_university,35,52.45
University of Burdwan,West Bengal,Bardhaman,state_public_university,36,51.44
"Manonmaniam Sundaranar University, Tirunelveli",Tamil Nadu,Tirunelveli,state_public_university,37,51.2
G.B. Pant Universtiy of Agriculture and Technology,Uttarakhand,Pantnagar,state_public_university,38,51.1
Sri Venkateswara University,Andhra Pradesh,Tirupati,state_public_university,39,51.04
Madan Mohan Malaviya University of Technology,Uttar Pradesh,Gorakhpur,state_public_university,40,50.58
Kurukshetra University,Haryana,Kurukshetra,state_public_university,41,50.47
Utkal University,Odisha,Bhubaneswar,state_public_university,42,50.27
Calicut University,Kerala,Malappuram,state_public_university,43,50.26
University of Agricultural Sciences,Karnataka,Bengaluru,state_public_university,44,50.19
Indraprastha Institute of Information Technology,Delhi,New Delhi,state_public_university,45,49.79
Dr. Babasaheb Ambedkar Marathwada University,Maharashtra,Aurangabad,state_public_university,46,49.54
Guru Jambheshwar University of Science and Technology,Haryana,Hisar,state_public_university,47,49.53
Chaudhary Charan Singh Haryana Agricultural University,Haryana,Hisar,state_public_university,48,48.91
Tamil Nadu Agricultural University,Tamil Nadu,Coimbatore,state_public_university,49,48.41
Devi Ahilya Vishwavidyalaya,Madhya Pradesh,Indore,state_public_university,50,48.35
"Indian Institute of Science, Bengaluru",Karnataka,Bengaluru,university,1,83.29
Jawaharlal Nehru University,Delhi,New Delhi,university,2,69.8
Jamia Millia Islamia,Delhi,New Delhi,university,3,68.11
"Manipal Academy of Higher Education, Manipal",Karnataka,Manipal,university,4,67.18
Banaras Hindu University,Uttar Pradesh,Varanasi,university,5,66.05
University of Delhi,Delhi,Delhi,university,6,65.9
Amrita Vishwa Vidyapeetham,Tamil Nadu,Coimbatore,university,7,65.73
Aligarh Muslim University,Uttar Pradesh,Aligarh,university,8,65.57
Jadavpur University,West Bengal,Kolkata,university,9,65.39
Vellore Institute of Technology,Tamil Nadu,Vellore,university,10,64.79
Saveetha Institute of Medical and Technical Sciences,Tamil Nadu,Chennai,university,11,64.62
S.R.M. Institute of Science and Technology,Tamil Nadu,Chennai,university,12,64.56
Anna University,Tamil Nadu,Chennai,university,13,63.85
Siksha `O` Anusandhan,Odisha,Bhubaneswar,university,14,62.61
Kalinga Institute of Industrial Technology,Odisha,Bhubaneswar,university,15,62.53
Homi Bhabha National Institute,Maharashtra,Mumbai,university,16,62.31
University of Hyderabad,Telangana,Hyderabad,university,17,62.18
Calcutta University,West Bengal,Kolkata,university,18,61.1
"Birla Institute of Technology and Science, Pilani",Rajasthan,Pilani,university,19,60.03
Chandigarh University,Punjab,Mohali,university,20,59.96
Kerala University,Kerala,Thiruvananthapuram,university,21,58.48
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Andhra Pradesh,Vaddeswaram,university,22,57.98
Savitribai Phule Pune University,Maharashtra,Pune,university,23,57.96
JSS Academy of Higher Education and Research,Karnataka,Mysuru,university,24,57.74
Andhra University,Andhra Pradesh,Visakhapatnam,university,25,57.67
Bharathiar University,Tamil Nadu,Coimbatore,university,26,57.26
Lovely Professional University,Punjab,Phagwara,university,27,56.92
Shanmugha Arts Science Technology and Research Academy,Tamil Nadu,Thanjavur,university,28,56.81
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Punjab,Patiala,university,29,56.72
Kalasalingam Academy of Research and Education,Tamil Nadu,Srivilliputhur,university,30,56.71
Symbiosis International,Maharashtra,Pune,university,31,56.41
Amity University,Uttar Pradesh,Gautam Budh Nagar,university,32,56.14
Babasaheb Bhimrao Ambedkar University,Uttar Pradesh,Lucknow,university,33,56.03
Cochin University of Science and Technology,Kerala,Cochin,university,34,55.95
Institute of Chemical Technology,Maharashtra,Mumbai,university,35,55.67
Bharathidasan University,Tamil Nadu,Tiruchirappalli,university,36,55.6
Mahatma Gandhi University,Kerala,Kottayam,university,37,55.18
Panjab University,Chandigarh,Chandigarh,university,38,55.11
University of Madras,Tamil Nadu,Chennai,university,39,55.03
Gauhati University,Assam,Guwahati,university,40,54.86
Jamia Hamdard,Delhi,New Delhi,university,40,54.86
Datta Meghe Institute of Higher Education and Research,Maharashtra,Wardha,university,42,54.71
Osmania University,Telangana,Hyderabad,university,43,54.69
Dr. D. Y. Patil Vidyapeeth,Maharashtra,Pune,university,44,54.59
University of Kashmir,Jammu and Kashmir,Srinagar,university,45,54.43
UPES,Uttarakhand,Dehradun,university,46,54.02
Alagappa University,Tamil Nadu,Karaikudi,university,47,53.84
Delhi Technological University,Delhi,New Delhi,university,48,53.31
SVKM`s Narsee Monjee Institute of Management Studies,Maharashtra,Mumbai,university,49,52.43
University of Jammu,Jammu and Kashmir,Jammu,university,50,52.33
Sathyabama Institute of Science and Technology,Tamil Nadu,Chennai,university,51,52.16
Graphic Era University,Uttarakhand,Dehradun,university,52,52.01
King George`s Medical University,Uttar Pradesh,Lucknow,university,53,51.1
Mysore University,Karnataka,Mysuru,university,54,51.04
Sri Ramachandra Institute of Higher Education and Research,Tamil Nadu,Chennai,university,55,50.86
Periyar University,Tamil Nadu,Salem,university,56,50.36
Punjab Agricultural University,Punjab,Ludhiana,university,57,50.32
Tata Institute of Social Sciences,Maharashtra,Mumbai,university,58,50.2
Acharya Nagarjuna University,Andhra Pradesh,Guntur,university,59,50.06
Christ University,Karnataka,Bengaluru,university,60,49.87
Mumbai University,Maharashtra,Mumbai,university,61,49.86
Shiv Nadar University,Uttar Pradesh,Gautam Buddha Nagar,university,62,49.8
Madurai Kamaraj University,Tamil Nadu,Madurai,university,63,49.72
"Manipal University, Jaipur",Rajasthan,Jaipur,university,64,49.5
"Jain University, Bangalore",Karnataka,Bengaluru,university,65,49.47
NITTE,Karnataka,Mangaluru,university,66,49.45
Banasthali Vidyapith,Rajasthan,Banasthali,university,67,49.38
Sri Balaji Vidyapeeth Mahatma Gandhi Medical College,Pondicherry,Puducherry,university,68,49.14
Tezpur University,Assam,Tezpur,university,69,49.01
Shoolini University of Biotechnology and Management Sciences,Himachal Pradesh,Solan,university,70,48.82
Maharishi Markandeshwar (Deemed to be University),Haryana,Ambala,university,71,48.67
"Vignan's Foundation for Science, Technology and Research",Andhra Pradesh,Guntur,university,72,48.45
Bharath Institute of Higher Education and Research,Tamil Nadu,Chennai,university,73,48.36
International Institute of Information Technology Hyderabad,Telangana,Hyderabad,university,74,48.32
Visvesvaraya Technological University,Karnataka,Belgaum,university,75,48.1
Gujarat University,Gujarat,Ahmedabad,university,76,48.04
Mizoram University,Mizoram,Aizawl,university,77,48.03
Bharati Vidyapeeth,Maharashtra,Pune,university,78,47.94
Chettinad Academy of Research and Education,Tamil Nadu,"Kelambakkam, Chengalpattu District",university,79,47.8
Guru Gobind Singh Indraprastha University,Delhi,New Delhi,university,80,47.66
Bangalore University,Karnataka,Bengaluru,university,81,47.45
Birla Institute of Technology,Jharkhand,Ranchi,university,82,47.31
Central University of Punjab,Punjab,Bathinda,university,83,47.11
Tamil Nadu Agricultural University,Tamil Nadu,Coimbatore,university,84,47.03
Sant Longowal Institute of Engineering and Technology,Punjab,Longowal,university,85,46.9
Sharda University,Uttar Pradesh,Greater Noida,university,86,46.88
Sri Venkateswara University,Andhra Pradesh,Tirupati,university,87,46.65
G.B. Pant Universtiy of Agriculture and Technology,Uttarakhand,Pantnagar,university,88,46.64
Calicut University,Kerala,Malappuram,university,89,46.63
University of Agricultural Sciences,Karnataka,Bengaluru,university,90,46.47
Chitkara University,Punjab,Rajpura,university,90,46.47
Manav Rachna International Institute of Research and Studies,Haryana,Faridabad,university,92,46.46
"Manonmaniam Sundaranar University, Tirunelveli",Tamil Nadu,Tirunelveli,university,93,46.34
Madan Mohan Malaviya University of Technology,Uttar Pradesh,Gorakhpur,university,94,46.33
Yenepoya University,Karnataka,Mangaluru,university,95,46.31
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Tamil Nadu,Chennai,university,96,46.22
University of Lucknow,Uttar Pradesh,Lucknow,university,97,45.89
Avinashilingam Institute for Home Science and Higher Education for Women,Tamil Nadu,Coimbatore,university,98,45.78
Central University of Tamil Nadu,Tamil Nadu,Tiruvarur,university,99,45.73
Netaji Subhas University of Technology (NSUT),Delhi,Delhi,university,100,45.51
