college_name,state,city,field,ranking,score
Meenakshi Academy of Higher Education and Research,Tamil Nadu,Chennai,dental,13,59.07
Amrita Vishwa Vidyapeetham,Tamil Nadu,Coimbatore,dental,14,58.98
"Govt. Dental College, Nagpur",Maharashtra,Nagpur,dental,15,58.5
M.S. Ramaiah University of Applied Sciences,Karnataka,Bengaluru,dental,16,57.98
Banaras Hindu University,Uttar Pradesh,Varanasi,dental,17,55.69
Aligarh Muslim University,Uttar Pradesh,Aligarh,dental,18,55.33
"Government Dental College, Bangalore",Karnataka,Bengaluru,dental,19,54.95
Dr. M. G. R. Educational and Research Institute,Tamil Nadu,Chennai,dental,20,54.52
Government Dental College,Kerala,Thiruvananthapuram,dental,21,53.91
Kalinga Institute of Industrial Technology,Odisha,Bhubaneswar,dental,22,53.89
Postgraduate Institute of Dental Sciences,Haryana,Rohtak,dental,23,53.78
Datta Meghe Institute of Higher Education and Research,Maharashtra,Wardha,dental,24,53.64
"Govt. Dental College, Mumbai",Maharashtra,Mumbai,dental,25,53.54
Yenepoya Dental College,Karnataka,Mangaluru,dental,26,53.32
Panjab University,Chandigarh,Chandigarh,dental,27,52.99
Nair Hospital Dental College,Maharashtra,Mumbai,dental,28,52.92
KLE Vishwanath Katti Institute of Dental Sciences,Karnataka,Belgaum,dental,29,52.84
Christian Dental College,Punjab,Ludhiana,dental,30,52.72
SDM College of Dental Sciences & Hospital,Karnataka,Dharwad,dental,31,52.67
SRM Kattankulathur Dental College,Tamil Nadu,Chennai,dental,32,52.13
Chettinad Dental College and Research Institute,Tamil Nadu,Kelambakkam,dental,33,51.71
Government Dental College,Gujarat,Ahmedabad,dental,34,51.6
Mahatma Gandhi P.G. Institute of Dental Sciences,Pondicherry,Pondicherry,dental,35,51.39
"Bharati Vidyapeeth (Deemed to be University) Dental College and Hospital, Pune",Maharashtra,Pune,dental,36,51.06
Bapuji Dental College & Hospital,Karnataka,Davangere,dental,37,50.86
Manav Rachna International Institute of Research and Studies,Haryana,Faridabad,dental,38,49.88
"Adhiparasakthi Dental College and Hospital, Kancheepuram",Tamil Nadu,Melmaruvathur,dental,39,49.44
Army College of Dental Sciences,Telangana,Secunderabad,dental,40,49.38
Indian Institute of Technology Madras,Tamil Nadu,Chennai,engineering,1,89.46
Indian Institute of Technology Delhi,Delhi,New Delhi,engineering,2,86.66
